ƒ,Long_Title,Subtitle,Currency,ISA_eligible,ISIN,MIC,Symbol,Fractional_Enabled,PLUS_only,for_Ireland_investors,for_Netherlands_investors,DUTCH_KIID_URL
Pampa Energia,Pampa Energia,Electricity,USD,FALSE,US6976602077,XNYS,PAM,TRUE,FALSE,TRUE,TRUE,
Alto Palermo,Alto Palermo,Commercial real estate,USD,FALSE,US4635881034,XNAS,IRCP,TRUE,FALSE,TRUE,TRUE,
Trans. ra de Gas,Transportadora de Gas del Sur S.A. (ADR),Natural gas,USD,FALSE,US8938702045,XNYS,TGS,TRUE,FALSE,TRUE,TRUE,
Loma Negra,Loma Negra Compania Industrial Argentina SA (ADR),Construction materials,USD,FALSE,US54150E1047,XNYS,LOMA,TRUE,FALSE,TRUE,TRUE,
Telecom Argentina,Telecom Argentina SA (ADR),Telecommunications,USD,FALSE,US8792732096,XNYS,TEO,TRUE,FALSE,TRUE,TRUE,
Ternium,Ternium SA (ADR),Steelmaking,USD,FALSE,US8808901081,XNYS,TX,TRUE,FALSE,TRUE,TRUE,
Cresud,CRESUD SACIF Y A (ADR),Agricultural property,USD,FALSE,US2264061068,XNAS,CRESY,TRUE,FALSE,TRUE,TRUE,
Seeing Machines,Seeing Machines Ltd,AI,GBP,TRUE,AU0000XINAJ0,XLON,SEE,FALSE,FALSE,TRUE,TRUE,
Euronav,Euronav NV,Oil shipping,USD,TRUE,BE0003816338,XNYS,EURN,TRUE,FALSE,TRUE,TRUE,
Materialise,Materialise,3D printing,USD,FALSE,US57667T1007,XNAS,MTLS,TRUE,FALSE,TRUE,TRUE,
Essent Group,Essent Group Ltd,Mortgage insurance,USD,TRUE,BMG3198U1027,XNYS,ESNT,TRUE,FALSE,TRUE,TRUE,
Bunge,Bunge Limited,Agribusiness,USD,TRUE,BMG169621056,XNYS,BG,TRUE,FALSE,TRUE,TRUE,
China Yuchai Intl,China Yuchai International Limited,Engine production,USD,TRUE,BMG210821051,XNYS,CYD,TRUE,FALSE,TRUE,TRUE,
Golar LNG,Golar LNG Ltd.,LNG infrastructure,USD,TRUE,BMG9456A1009,XNAS,GLNG,TRUE,FALSE,TRUE,TRUE,
Nabors Industries,Nabors Industries,Drilling rigs,USD,TRUE,BMG6359F1370,XNYS,NBR,TRUE,TRUE,TRUE,TRUE,
Credicorp,Credicorp Ltd,Peruvian banks,USD,TRUE,BMG2519Y1084,XNYS,BAP,TRUE,FALSE,TRUE,TRUE,
Textainer Group,Textainer Group Holdings Limited,Shipping containers,USD,TRUE,BMG8766E1093,XNYS,TGH,TRUE,FALSE,TRUE,TRUE,
LLA (Class A),Liberty Latin America Ltd - Class A Shares,Telecoms,USD,TRUE,BMG9001E1021,XNAS,LILA,TRUE,TRUE,TRUE,TRUE,
Genpact,Genpact Ltd,Professional services,USD,TRUE,BMG3922B1072,XNYS,G,TRUE,FALSE,TRUE,TRUE,
Central European Media,Central European Media Enterprises Ltd,TV,USD,TRUE,BMG200452024,XNAS,CETV,TRUE,FALSE,TRUE,TRUE,
GAN,GAN Ltd,Gambling software,USD,TRUE,BMG3728V1090,XNAS,GAN,TRUE,FALSE,TRUE,TRUE,
Alpha & Omega,Alpha & Omega Semiconductor Ltd,Semiconductor tech,USD,TRUE,BMG6331P1041,XNAS,AOSL,TRUE,FALSE,TRUE,TRUE,
Norwegian,Norwegian Cruise Line Holdings Ltd,Cruises,USD,TRUE,BMG667211046,XNYS,NCLH,TRUE,FALSE,TRUE,TRUE,
Helen of Troy,Helen Of Troy Ltd,Consumer goods,USD,TRUE,BMG4388N1065,XNAS,HELE,TRUE,FALSE,TRUE,TRUE,
GeoPark,GeoPark Limited,Oil and gas exploration,USD,TRUE,BMG383271050,XNYS,GPRK,TRUE,FALSE,TRUE,TRUE,
Athene Holding,Athene Holding Ltd. (Class A),Retirement savings,USD,TRUE,BMG0684D1074,XNYS,ATH,TRUE,FALSE,TRUE,TRUE,
GasLog,GasLog Ltd,LNG shipping,USD,TRUE,BMG375851091,XNYS,GLOG,TRUE,FALSE,TRUE,TRUE,
Axalta Coating,Axalta Coating Systems Ltd,Paint for cars,USD,TRUE,BMG0750C1082,XNYS,AXTA,TRUE,FALSE,TRUE,TRUE,
Frontline,Frontline Ltd,Oil shipping,USD,TRUE,BMG3682E1921,XNYS,FRO,TRUE,FALSE,TRUE,TRUE,
Lazard,Lazard,Investment banking,USD,FALSE,BMG540501027,XNYS,LAZ,TRUE,FALSE,TRUE,TRUE,
Axovant,Axovant Sciences Ltd.,Medical research,USD,TRUE,BMG0750W2037,XNAS,AXGT,TRUE,FALSE,TRUE,TRUE,
Fly Leasing,Fly Leasing Ltd (ADR),Aircraft leasing,USD,FALSE,US34407D1090,XNYS,FLY,TRUE,FALSE,TRUE,TRUE,
IHS Markit,IHS Markit Ltd,Data,USD,TRUE,BMG475671050,XNYS,INFO,TRUE,FALSE,TRUE,TRUE,
Signet Jewelers,Signet Jewelers Ltd,Diamonds,USD,TRUE,BMG812761002,XNYS,SIG,TRUE,FALSE,TRUE,TRUE,
SFL Corporation,Ship Finance International Limited,Shipping,USD,TRUE,BMG7738W1064,XNYS,SFL,TRUE,FALSE,TRUE,TRUE,
Triton,Triton,Container landlords,USD,TRUE,BMG9078F1077,XNYS,TRTN,TRUE,FALSE,TRUE,TRUE,
Brookfield,Brookfield Renewable Partners LP,Renewable energy,USD,FALSE,BMG162581083,XNYS,BEP,TRUE,FALSE,TRUE,TRUE,
Golden Ocean Group,Golden Ocean Group Limited,Bulk dry shipping,USD,TRUE,BMG396372051,XNAS,GOGL,TRUE,FALSE,TRUE,TRUE,
Third Point,Third Point Reinsurance Ltd Company,Reinsurance,USD,TRUE,BMG8827U1009,XNYS,TPRE,TRUE,TRUE,TRUE,TRUE,
Nordic American,Nordic American Tankers Ltd,Oil shipping,USD,TRUE,BMG657731060,XNYS,NAT,TRUE,FALSE,TRUE,TRUE,
Invesco,Invesco Ltd,Investment management,USD,FALSE,BMG491BT1088,XNYS,IVZ,TRUE,FALSE,TRUE,TRUE,
Cosan,Cosan,Biofuel,USD,TRUE,BMG253431073,XNYS,CZZ,TRUE,FALSE,TRUE,TRUE,
Brookfield Business,Brookfield Business Partners LP,Private equity,USD,FALSE,BMG162341090,XNYS,BBU,TRUE,FALSE,TRUE,TRUE,
Natura,Natura & Co Holding SA (ADR),Cosmetics,USD,TRUE,US63884N1081,XNYS,NTCO,TRUE,FALSE,TRUE,TRUE,
GOL,GOL Intelligent Airlines Inc (ADR),Flights,USD,TRUE,US38045R2067,XNYS,GOL,TRUE,FALSE,TRUE,TRUE,
Perdigao,BRF SA (ADR),Food,USD,TRUE,US10552T1079,XNYS,BRFS,TRUE,FALSE,TRUE,TRUE,
GPA,Companhia Brasileira de Distribuicao (ADR),Retail,USD,TRUE,US20440T2015,XNYS,CBD,TRUE,FALSE,TRUE,TRUE,
Embraer,Embraer SA (ADR),Aircraft,USD,TRUE,US29082A1079,XNYS,ERJ,TRUE,FALSE,TRUE,TRUE,
Suzano,Suzano Papel e Celulose SA (ADR),Pulp and paper,USD,TRUE,US86959K1051,XNYS,SUZ,TRUE,FALSE,TRUE,TRUE,
Braskem,Braskem SA (ADR),Petrochemicals,USD,TRUE,US1055321053,XNYS,BAK,TRUE,FALSE,TRUE,TRUE,
Telefonica Brasil,Telefonica Brasil SA,Telecommunications,USD,TRUE,US87936R1068,XNYS,VIV,TRUE,FALSE,TRUE,TRUE,
Gerdau,Gerdau SA (ADR),Steelmaking,USD,TRUE,US3737371050,XNYS,GGB,TRUE,FALSE,TRUE,TRUE,
Sabesp,Companhia de Saneamento Basico SA (ADR),Waste management,USD,TRUE,US20441A1025,XNYS,SBS,TRUE,FALSE,TRUE,TRUE,
Vale,Vale SA (ADR),Iron ore,USD,TRUE,US91912E1055,XNYS,VALE,TRUE,FALSE,TRUE,TRUE,
CEMIG,Companhia Energ‚àö¬©tica de Minas Gerais SA (ADR),Energy,USD,TRUE,US2044096012,XNYS,CIG,TRUE,FALSE,TRUE,TRUE,
CSN,Companhia Sider‚àö‚à´rgica Nacional SA (ADR),Steelmaking,USD,TRUE,US20440W1053,XNYS,SID,TRUE,FALSE,TRUE,TRUE,
Azul,Azul Linhas A‚àö¬©reas Brasileiras SA,Flights,USD,FALSE,US05501U1060,XNYS,AZUL,TRUE,FALSE,TRUE,TRUE,
Oi,Oi,Telecommunications,USD,TRUE,US6708515001,XNYS,OIBR.C,TRUE,FALSE,TRUE,TRUE,
Ambev,Ambev SA (ADR),Drinks,USD,TRUE,US02319V1035,XNYS,ABEV,TRUE,FALSE,TRUE,TRUE,
Copel,Copel,Utility,USD,TRUE,US20441B4077,XNYS,ELP,TRUE,FALSE,TRUE,TRUE,
Ultrapar,Ultrapar Participa‚àö√ü‚àö¬µes SA (ADR),Oil transport and pharmacies,USD,TRUE,US90400P1012,XNYS,UGP,TRUE,FALSE,TRUE,TRUE,
Suncor Energy,Suncor Energy Inc,Oil,USD,TRUE,CA8672241079,XNYS,SU,TRUE,FALSE,TRUE,TRUE,
MAG Silver Corp,MAG Silver Corp,Silver mines,USD,TRUE,CA55903Q1046,XNYS,MAG,TRUE,FALSE,TRUE,TRUE,
Barrick Gold,Barrick Gold Corp,Gold miners,USD,TRUE,CA0679011084,XNYS,GOLD,TRUE,FALSE,TRUE,TRUE,
Wheaton PM,Wheaton Precious Metals Corp,Metal streaming,USD,TRUE,CA9628791027,XNYS,WPM,TRUE,FALSE,TRUE,TRUE,
Aphria,Aphria Inc,Cannabis oil,USD,TRUE,CA03765K1049,XNAS,APHA,TRUE,FALSE,TRUE,TRUE,
CPR,Canadian Pacific Railway Ltd,Railways,USD,TRUE,CA13645T1003,XNYS,CP,TRUE,FALSE,TRUE,TRUE,
Pan American Silver,Pan American Silver,Silver mining,USD,TRUE,CA6979001089,XNAS,PAAS,TRUE,FALSE,TRUE,TRUE,
Nutrien,Nutrien Ltd,Fertilisers,USD,TRUE,CA67077M1086,XNYS,NTR,TRUE,FALSE,TRUE,TRUE,
RBC,Royal Bank of Canada,Canada's biggest bank,USD,TRUE,CA7800871021,XNYS,RY,TRUE,FALSE,TRUE,TRUE,
Canada Goose,Canada Goose Holdings Inc,Parkas,USD,TRUE,CA1350861060,XNYS,GOOS,TRUE,FALSE,TRUE,TRUE,
Shopify,Shopify Inc,Online shops,USD,TRUE,CA82509L1076,XNYS,SHOP,TRUE,FALSE,TRUE,TRUE,
Thomson Reuters,Thomson Reuters Corp,Finance news,USD,TRUE,CA8849037095,XNYS,TRI,TRUE,FALSE,TRUE,TRUE,
Primo Water,Primo Water,Water dispensers,USD,TRUE,CA74167P1080,XNYS,PRMW,TRUE,FALSE,TRUE,TRUE,
Cronos,Cronos Group Inc,Weed,USD,TRUE,CA22717L1013,XNAS,CRON,TRUE,FALSE,TRUE,TRUE,
BlackBerry,BlackBerry Ltd,Your old work phone,USD,TRUE,CA09228F1036,XNYS,BB,TRUE,FALSE,TRUE,TRUE,
Colliers International,Colliers International,Real estate management,USD,TRUE,CA1946931070,XNAS,CIGI,TRUE,FALSE,TRUE,TRUE,
Brookfield Infrastructure,Brookfield Infrastructure,Infrastructure investment,USD,TRUE,CA11275Q1072,XNYS,BIPC,TRUE,FALSE,TRUE,TRUE,
Aurora,Aurora Cannabis Inc,Green gold,USD,TRUE,CA05156X1087,XNYS,ACB,TRUE,FALSE,TRUE,TRUE,
CGI,CGI Group Inc,IT consulting,USD,TRUE,CA12532H1047,XNYS,GIB,TRUE,FALSE,TRUE,TRUE,
Alamos Gold,Alamos Gold,Gold miners,USD,TRUE,CA0115321089,XNYS,AGI,TRUE,FALSE,TRUE,TRUE,
Brookfield Corp,Brookfield Renewable Corp,Renewable energy,USD,FALSE,CA11284V1058,XNYS,BEPC,TRUE,FALSE,TRUE,TRUE,
Sandstorm Gold,Sandstorm Gold,Gold royalties,USD,TRUE,CA80013R2063,XNYS,SAND,TRUE,FALSE,TRUE,TRUE,
BRP,BRP,Ski-Doos,USD,TRUE,CA05577W2004,XNAS,DOOO,TRUE,FALSE,TRUE,TRUE,
Ritchie Bros,Ritchie Bros,Digger auctions,USD,TRUE,CA7677441056,XNYS,RBA,TRUE,FALSE,TRUE,TRUE,
Shaw Communications,Shaw Communications Inc,Fibre optic internet,USD,TRUE,CA82028K2002,XNYS,SJR,TRUE,FALSE,TRUE,TRUE,
Descartes Systems,Descartes Systems,Logistics,USD,TRUE,CA2499061083,XNAS,DSGX,TRUE,FALSE,TRUE,TRUE,
Algonquin,Algonquin,Green utilities,USD,TRUE,CA0158571053,XNYS,AQN,TRUE,FALSE,TRUE,TRUE,
TransCanada,TransCanada Corp,Energy behemoth,USD,FALSE,CA87807B1076,XNYS,TRP,TRUE,FALSE,TRUE,TRUE,
Masonite,Masonite,Doors,USD,TRUE,CA5753851099,XNYS,DOOR,TRUE,FALSE,TRUE,TRUE,
OpenText,OpenText Corp,Information managment,USD,TRUE,CA6837151068,XNAS,OTEX,TRUE,FALSE,TRUE,TRUE,
Magna,Magna International Inc,Car parts,USD,TRUE,CA5592224011,XNYS,MGA,TRUE,FALSE,TRUE,TRUE,
CAE Inc.,CAE Inc.,Aircraft models,USD,TRUE,CA1247651088,XNYS,CAE,TRUE,FALSE,TRUE,TRUE,
GFL Environmental,GFL Environmental,Waste management,USD,FALSE,CA36168Q1046,XNYS,GFL,TRUE,FALSE,TRUE,TRUE,
BCE,BCE Inc,Canadian slow internet,USD,TRUE,CA05534B7604,XNYS,BCE,TRUE,FALSE,TRUE,TRUE,
CNR,Canadian Natural Resources Ltd,Oil,USD,TRUE,CA1363851017,XNYS,CNQ,TRUE,FALSE,TRUE,TRUE,
Franco-Nevada,Franco-Nevada Corp,Gold mining royalties,USD,TRUE,CA3518581051,XNYS,FNV,TRUE,FALSE,TRUE,TRUE,
Gildan,Gildan,Activewear,USD,TRUE,CA3759161035,XNYS,GIL,TRUE,FALSE,TRUE,TRUE,
Pembina Pipeline,Pembina Pipeline Corp,Oil pipelines,USD,TRUE,CA7063271034,XNYS,PBA,TRUE,FALSE,TRUE,TRUE,
Lionsgate (Class B),Lions Gate Entertainment Corporation (Class B),The Hunger Games,USD,TRUE,CA5359195008,XNYS,LGF.B,TRUE,FALSE,TRUE,TRUE,
Enbridge,Enbridge Inc,Energy transportation,USD,TRUE,CA29250N1050,XNYS,ENB,TRUE,FALSE,TRUE,TRUE,
Ballard Power,Ballard Power Systems Inc,Fuel cells,USD,TRUE,CA0585861085,XNAS,BLDP,TRUE,FALSE,TRUE,TRUE,
Canopy Growth,Canopy Growth Corp,Kush conglomerate,USD,TRUE,CA1380351009,XNYS,CGC,TRUE,FALSE,TRUE,TRUE,
TELUS,TELUS Corp,Canadian telco,USD,TRUE,CA87971M1032,XNYS,TU,TRUE,FALSE,TRUE,TRUE,
CN,Canadian National Railway Co,Railways,USD,TRUE,CA1363751027,XNYS,CNI,TRUE,FALSE,TRUE,TRUE,
Norbord,Norbord,Plywood,USD,TRUE,CA65548P4033,XNYS,OSB,TRUE,FALSE,TRUE,TRUE,
SSR Mining,SSR Mining,Silver mining,USD,TRUE,CA7847301032,XNAS,SSRM,TRUE,FALSE,TRUE,TRUE,
Lionsgate (Class A),Lions Gate Entertainment Corporation (Class A),Entertainment,USD,TRUE,CA5359194019,XNYS,LGF.A,TRUE,FALSE,TRUE,TRUE,
Waste Connections,Waste Connections Inc,Wastemen,USD,TRUE,CA94106B1013,XNYS,WCN,TRUE,FALSE,TRUE,TRUE,
Celestica,Celestica Inc,Electronics,USD,TRUE,CA15101Q1081,XNYS,CLS,TRUE,FALSE,TRUE,TRUE,
Crispr Therapeutics,Crispr Therapeutics Inc,Genetics,USD,TRUE,CH0334081137,XNAS,CRSP,TRUE,FALSE,TRUE,TRUE,
Transocean,Transocean Ltd,Offshore rigs,USD,TRUE,CH0048265513,XNYS,RIG,TRUE,FALSE,TRUE,TRUE,
AC Immune,AC IMMUNE SA,Medical research,USD,TRUE,CH0329023102,XNAS,ACIU,TRUE,FALSE,TRUE,TRUE,
51Talk,China Online Education Group Inc (ADR),E-learning,USD,FALSE,US16954L1052,XNYS,COE,TRUE,FALSE,TRUE,TRUE,
Youdao,Youdao Inc (ADR),Online education,USD,FALSE,US98741T1043,XNYS,DAO,TRUE,FALSE,TRUE,TRUE,
Logitech,Logitech International SA,Keyboards,USD,TRUE,CH0025751329,XNAS,LOGI,TRUE,FALSE,TRUE,TRUE,
TE Connectivity,TE Connectivity Ltd,Sensors,USD,TRUE,CH0102993182,XNYS,TEL,TRUE,FALSE,TRUE,TRUE,
Alcon,Alcon Inc,Eyecare,USD,TRUE,CH0432492467,XNYS,ALC,TRUE,FALSE,TRUE,TRUE,
NIU,Jiangsu Niu Electric Technology Company Ltd (ADR),Electric mopeds,USD,FALSE,US65481N1000,XNAS,NIU,TRUE,FALSE,TRUE,TRUE,
Coca-Cola HBC,Coca-Cola HBC AG,Coke bottler,GBP,TRUE,CH0198251305,XLON,CCH,FALSE,FALSE,TRUE,TRUE,
Garmin,Garmin Ltd,GPS watches,USD,TRUE,CH0114405324,XNAS,GRMN,TRUE,FALSE,TRUE,TRUE,
Enel Americas,Enel Am‚àö¬©ricas SA (ADR),Energy,USD,FALSE,US29274F1049,XNYS,ENIA,TRUE,FALSE,TRUE,TRUE,
Compania Cerveceria,Compania Cervecerias Unidas S.A. (ADR),Beer,USD,FALSE,US2044291043,XNYS,CCU,TRUE,FALSE,TRUE,TRUE,
Guangshen Railway,Guangshen Railway,Railways,USD,TRUE,US40065W1071,XNYS,GSH,TRUE,FALSE,TRUE,TRUE,
Huaneng Power,Huaneng Power International Inc (ADR),Power plants,USD,TRUE,US4433041005,XNYS,HNP,TRUE,FALSE,TRUE,TRUE,
China Telecom,China Telecom Corp Ltd (ADR),Telecommunications,USD,TRUE,US1694261033,XNYS,CHA,TRUE,FALSE,TRUE,TRUE,
Schlumberger,Schlumberger Ltd,Oilfield services,USD,TRUE,AN8068571086,XNYS,SLB,TRUE,FALSE,TRUE,TRUE,
QIWI,QIWI PLC (ADR),Russian PayPal,USD,FALSE,US74735M1080,XNAS,QIWI,TRUE,FALSE,TRUE,TRUE,
MorphoSys,MorphoSys,Antibodies,USD,TRUE,US6177602025,XNAS,MOR,TRUE,FALSE,TRUE,TRUE,
Fresenius Medical,Fresenius Medical,Dialysis,USD,TRUE,US3580291066,XNYS,FMS,TRUE,FALSE,TRUE,TRUE,
Jumia,Jumia Group (ADR),Nigerian Amazon,USD,FALSE,US48138M1053,XNYS,JMIA,TRUE,FALSE,TRUE,TRUE,
Grifols,Grifols,Blood plasma drugs,USD,TRUE,US3984384087,XNAS,GRFS,TRUE,FALSE,TRUE,TRUE,
Nokia,Nokia Oyj (ADR),Networking equipment,USD,TRUE,US6549022043,XNYS,NOK,TRUE,FALSE,TRUE,TRUE,
Constellium,Constellium NV,Aluminium makers,USD,TRUE,FR0013467479,XNYS,CSTM,TRUE,FALSE,TRUE,TRUE,
Criteo,Criteo SA (ADR),AdBlock's nemesis,USD,FALSE,US2267181046,XNAS,CRTO,TRUE,FALSE,TRUE,TRUE,
Bellway Homes,Bellway plc,Property,GBP,TRUE,GB0000904986,XLON,BWY,FALSE,FALSE,TRUE,TRUE,
James Fisher & Sons,James Fisher & Sons plc,Marine services,GBP,TRUE,GB0003395000,XLON,FSJ,FALSE,FALSE,TRUE,TRUE,
IG Design,IG Design Group plc,Gift cards,GBP,TRUE,GB0004526900,XLON,IGR,FALSE,TRUE,TRUE,TRUE,
Rotork,Rotork plc,Actuators,GBP,TRUE,GB00BVFNZH21,XLON,ROR,FALSE,FALSE,TRUE,TRUE,
ASOS,ASOS plc,Online fashion retail,GBP,TRUE,GB0030927254,XLON,ASC,FALSE,FALSE,TRUE,TRUE,
Headlam,Headlam Group plc,Floors,GBP,TRUE,GB0004170089,XLON,HEAD,FALSE,TRUE,TRUE,TRUE,
Tertiary Minerals,Tertiary Minerals plc,Mineral mining,GBP,TRUE,GB0008854563,XLON,TYM,FALSE,TRUE,TRUE,TRUE,
Telecom Plus,Telecom Plus plc,Consumer utilities,GBP,TRUE,GB0008794710,XLON,TEP,FALSE,FALSE,TRUE,TRUE,
IntegraFin,IntegraFin Holdings plc,Financial advisor platform,GBP,TRUE,GB00BD45SH49,XLON,IHP,FALSE,FALSE,TRUE,TRUE,
RWS,RWS Holdings plc,Translation services,GBP,TRUE,GB00BVFCZV34,XLON,RWS,FALSE,FALSE,TRUE,TRUE,
Asia Pacific,Schroder Asia Pacific Fund plc,Asian investments,GBP,TRUE,GB0007918872,XLON,SDP,FALSE,FALSE,FALSE,FALSE,
Polarean Imaging,Polarean Imaging plc,Industrials,GBP,TRUE,GB00BF3DT583,XLON,POLX,FALSE,TRUE,TRUE,TRUE,
Finsbury Food,Finsbury Food Group plc,Cakes,GBP,TRUE,GB0009186429,XLON,FIF,FALSE,TRUE,TRUE,TRUE,
Micro Focus,Micro Focus International plc,Software upgrades,GBP,TRUE,GB00BJ1F4N75,XLON,MCRO,FALSE,FALSE,TRUE,TRUE,
Bodycote,Bodycote plc,Heat treatment,GBP,TRUE,GB00B3FLWH99,XLON,BOY,FALSE,FALSE,TRUE,TRUE,
William Hill,William Hill plc,Gambling,GBP,TRUE,GB0031698896,XLON,WMH,FALSE,FALSE,TRUE,TRUE,
Smiths,Smiths Group plc,engineering,GBP,TRUE,GB00B1WY2338,XLON,SMIN,FALSE,FALSE,TRUE,TRUE,
Grainger,Grainger plc,Professional landlord,GBP,TRUE,GB00B04V1276,XLON,GRI,FALSE,FALSE,TRUE,TRUE,
Howden Joinery,Howden Joinery plc,Fitted kitchens,GBP,TRUE,GB0005576813,XLON,HWDN,FALSE,FALSE,TRUE,TRUE,
Kier Group,Kier Group plc,Construction,GBP,TRUE,GB0004915632,XLON,KIE,FALSE,FALSE,TRUE,TRUE,
Focusrite,Focusrite plc,Recording gear,GBP,TRUE,GB00BSBMW716,XLON,TUNE,FALSE,TRUE,TRUE,TRUE,
Remote Monitored,Remote Monitored Systems plc,Industrials,GBP,TRUE,GB00BFX0ZN92,XLON,RMS,FALSE,TRUE,TRUE,TRUE,
Eckoh,Eckoh plc,Payments,GBP,TRUE,GB0033359141,XLON,ECK,FALSE,TRUE,TRUE,TRUE,
Urban Exposure,Urban Exposure plc,Property financing,GBP,TRUE,GB00BFNSQ303,XLON,UEX,FALSE,TRUE,TRUE,TRUE,
Next Fifteen,Next Fifteen Communications Grp PLC Ord 2.5P,Digital marketing,GBP,TRUE,GB0030026057,XLON,NFC,FALSE,TRUE,TRUE,TRUE,
Pearson,Pearson plc,Tests and textbooks,GBP,TRUE,GB0006776081,XLON,PSON,FALSE,FALSE,TRUE,TRUE,
Sage,Sage Group plc,Accounting software,GBP,TRUE,GB00B8C3BL03,XLON,SGE,FALSE,FALSE,TRUE,TRUE,
Itaconix,Itaconix plc,Industrials,GBP,TRUE,GB00B84LVH87,XLON,ITX,FALSE,TRUE,TRUE,TRUE,
Sumo Group,Sumo Group plc,Video games,GBP,TRUE,GB00BD3HV384,XLON,SUMO,FALSE,FALSE,TRUE,TRUE,
PowerHouse Energy,PowerHouse Energy Group plc,Waste energy,GBP,TRUE,GB00B4WQVY43,XLON,PHE,FALSE,FALSE,TRUE,TRUE,
BT,BT Group plc,Slow internet,GBP,TRUE,GB0030913577,XLON,BT.A,FALSE,FALSE,TRUE,TRUE,
McCarthy & Stone,McCarthy & Stone plc,Retirement homes,GBP,TRUE,GB00BYNVD082,XLON,MCS,FALSE,FALSE,TRUE,TRUE,
Optibiotix Health,Optibiotix Health plc,Biotech,GBP,TRUE,GB00BP0RTP38,XLON,OPTI,FALSE,TRUE,TRUE,TRUE,
Frasers Group,Frasers Group plc,Discount trainers,GBP,TRUE,GB00B1QH8P22,XLON,FRAS,FALSE,FALSE,TRUE,TRUE,
GRC International,GRC International,IT services,GBP,TRUE,GB00BG06MV41,XLON,GRC,FALSE,TRUE,TRUE,TRUE,
SMT,Scottish Mortgage Investment Trust plc,Diversified trust,GBP,TRUE,GB00BLDYK618,XLON,SMT,FALSE,FALSE,FALSE,FALSE,
Renold,Renold,Machinery,GBP,TRUE,GB0007325078,XLON,RNO,FALSE,TRUE,TRUE,TRUE,
DS Smith,DS Smith plc,Packaging,GBP,TRUE,GB0008220112,XLON,SMDS,FALSE,FALSE,TRUE,TRUE,
McBride,McBride plc,Cleaning products,GBP,TRUE,GB0005746358,XLON,MCB,FALSE,TRUE,TRUE,TRUE,
D4T4 Solutions,D4T4 Solutions plc,IT services,GBP,TRUE,GB0001351955,XLON,D4T4,FALSE,TRUE,TRUE,TRUE,
TP ICAP,TP ICAP plc,Interdealer broker,GBP,TRUE,GB00B1H0DZ51,XLON,TCAP,FALSE,FALSE,TRUE,TRUE,
Micro Focus,Micro Focus International plc,software upgrades,GBP,TRUE,GB00BD8YWM01,XLON,MCRO,,FALSE,TRUE,TRUE,
Haydale Graphene,Haydale Graphene,Nanomaterials,GBP,TRUE,GB00BKWQ1135,XLON,HAYD,FALSE,TRUE,TRUE,TRUE,
Cap-XX,Cap-XX,Supercapacitators,GBP,TRUE,AU0000XINAS1,XLON,CPX,FALSE,TRUE,TRUE,TRUE,
KAZ Minerals,KAZ Minerals plc,Copper mining,GBP,TRUE,GB00B0HZPV38,XLON,KAZ,FALSE,FALSE,TRUE,TRUE,
The Ince Group,The Ince Group,Professional services,GBP,TRUE,GB00BZBY3Y09,XLON,INCE,FALSE,TRUE,TRUE,TRUE,
Mondi,Mondi plc,Paper,GBP,TRUE,GB00B1CRLC47,XLON,MNDI,FALSE,FALSE,TRUE,TRUE,
Provident,Provident Financial plc,High rate credit cards,GBP,TRUE,GB00B1Z4ST84,XLON,PFG,FALSE,FALSE,TRUE,TRUE,
Judges Scientific,Judges Scientific plc,Scientific instruments,GBP,TRUE,GB0032398678,XLON,JDG,FALSE,FALSE,TRUE,TRUE,
Gfinity,Gfinity plc,eSports,GBP,TRUE,GB00BT9QD572,XLON,GFIN,FALSE,FALSE,TRUE,TRUE,
Meggitt,Meggitt plc,Aircraft parts,GBP,TRUE,GB0005758098,XLON,MGGT,FALSE,FALSE,TRUE,TRUE,
AA,AA plc,Car insurance,GBP,TRUE,GB00BMSKPJ95,XLON,AA.,FALSE,TRUE,TRUE,TRUE,
Kromek Group,Kromek Group plc,Radiation detection,GBP,TRUE,GB00BD7V5D43,XLON,KMK,FALSE,TRUE,TRUE,TRUE,
Games Workshop,Games Workshop Group plc,Wargaming models,GBP,TRUE,GB0003718474,XLON,GAW,FALSE,FALSE,TRUE,TRUE,
CVS,CVS Group plc,Pet medicine,GBP,TRUE,GB00B2863827,XLON,CVSG,FALSE,FALSE,TRUE,TRUE,
Crest Nicholson,Crest Nicholson Holdings plc,New homes,GBP,TRUE,GB00B8VZXT93,XLON,CRST,FALSE,FALSE,TRUE,TRUE,
M&S,Marks and Spencer Group plc,Food and clothes,GBP,TRUE,GB0031274896,XLON,MKS,FALSE,FALSE,TRUE,TRUE,
RM,RM plc,All things education,GBP,TRUE,GB00BJT0FF39,XLON,RM.,FALSE,TRUE,TRUE,TRUE,
Informa,Informa plc,Specialist Publishing,GBP,TRUE,GB00BMJ6DW54,XLON,INF,FALSE,FALSE,TRUE,TRUE,
Ide Group,Ide Group,IT services,GBP,TRUE,GB00B4NJ4984,XLON,IDE,FALSE,TRUE,TRUE,TRUE,
Manolete Partners,Manolete Partners plc,Legal services,GBP,TRUE,GB00BYWQCY12,XLON,MANO,FALSE,TRUE,TRUE,TRUE,
Vistry Group,Vistry Group plc,Home construction,GBP,TRUE,GB0001859296,XLON,VTY,FALSE,FALSE,TRUE,TRUE,
Immedia Group,Immedia Group plc,Digital media,GBP,TRUE,GB0033881904,XLON,IME,FALSE,TRUE,TRUE,TRUE,
